generator,n,time_ms
LCG,1000,0.013417
LCG,2000,0.010208
LCG,5000,0.025417
LCG,10000,0.050417
LCG,20000,0.100833
LCG,50000,0.252625
LCG,100000,0.504709
LCG,200000,1.02192
LCG,500000,2.52413
LCG,1000000,5.08154
XorShift,1000,0.008167
XorShift,2000,0.016083
XorShift,5000,0.036709
XorShift,10000,0.073291
XorShift,20000,0.159708
XorShift,50000,0.39875
XorShift,100000,0.799625
XorShift,200000,1.59525
XorShift,500000,4.011
XorShift,1000000,7.87042
MiddleSquare,1000,0.02875
MiddleSquare,2000,0.032708
MiddleSquare,5000,0.083708
MiddleSquare,10000,0.16525
MiddleSquare,20000,0.331417
MiddleSquare,50000,0.834417
MiddleSquare,100000,1.66258
MiddleSquare,200000,3.26638
MiddleSquare,500000,9.64888
MiddleSquare,1000000,16.9163
mt19937,1000,0.026125
mt19937,2000,0.050458
mt19937,5000,0.12575
mt19937,10000,0.251416
mt19937,20000,0.503292
mt19937,50000,1.27937
mt19937,100000,2.55008
mt19937,200000,5.0305
mt19937,500000,12.6455
mt19937,1000000,25.2258
